Trajectories
100
,,maze:take_off,,,maze:enter_right,,,maze:enter_left,,,maze:enter_far-left,,,maze:enter_far-right,,,maze:y-join_left,,,maze:y-join_right,,,maze:exit_left,,,maze:exit_right,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
28,0,-1011.853455,1561.900269,-18.587950,-1435.426636,-132.012360,13.107547,-364.607819,-141.941132,7.487644,1791.305786,-171.728668,13.930300,-3909.507080,-89.517128,2.115175,-394.584717,-1921.180786,41.341015,-1417.863525,-1906.440308,43.403233,388.203247,-3223.037842,62.476425,-2219.889893,-3222.523438,56.690430
29,0,-1011.882812,1562.050903,-18.718517,-1435.436401,-131.968735,13.096047,-364.503937,-141.939438,7.598668,1791.224976,-171.712708,13.927469,-3909.337402,-89.520927,2.198317,-394.577087,-1921.148560,41.362339,-1417.868896,-1906.438843,43.398880,388.203705,-3223.054688,62.453651,-2219.870117,-3222.531250,56.705746
30,0,-1011.850586,1562.074097,-18.751059,-1435.421387,-131.996826,13.125211,-364.492676,-141.940735,7.619698,1791.221680,-171.708755,13.911473,-3909.544434,-89.501228,2.089263,-394.569183,-1921.159424,41.368073,-1417.864380,-1906.422119,43.370293,388.196564,-3223.057861,62.441429,-2219.929688,-3222.833740,56.618744
31,0,-1011.899353,1562.264282,-18.803350,-1435.374756,-131.978989,13.141175,-364.487213,-141.958313,7.611684,1791.253418,-171.670868,13.876165,-3909.479004,-89.530090,2.145469,-394.566162,-1921.161987,41.381866,-1417.865723,-1906.442139,43.403572,388.194031,-3223.060303,62.449474,-2219.881592,-3222.583252,56.675850
32,0,-1011.849670,1562.072998,-18.748959,-1435.395142,-131.983276,13.106661,-364.842773,-141.853622,7.643762,1791.221680,-171.728516,13.907228,-3909.309082,-89.540672,2.139611,-394.579102,-1921.192749,41.359222,-1417.863403,-1906.449707,43.406090,388.194397,-3223.038818,62.466064,-2219.860596,-3222.523193,56.703762
33,0,-1011.853699,1561.896484,-18.700871,-1435.419678,-131.999985,13.114871,-364.838745,-141.887817,7.597891,1791.296021,-171.737228,13.895054,-3909.169678,-89.517853,2.220893,-394.588776,-1921.222534,41.340843,-1417.860962,-1906.449585,43.390224,388.183441,-3223.010254,62.474575,-2219.860107,-3222.523926,56.714787
34,0,-1011.885620,1561.873901,-18.616941,-1435.470825,-132.022537,13.086093,-364.647705,-141.950668,7.455173,1791.273804,-171.743149,13.836894,-3908.727539,-89.819336,2.711420,-394.592072,-1921.237061,41.315300,-1417.849243,-1906.444580,43.387379,388.184601,-3223.008789,62.472912,-2219.868896,-3222.491455,56.735619
35,0,-1011.849670,1562.075439,-18.668442,-1435.412964,-132.008026,13.094797,-364.517151,-141.977692,7.561006,1791.206299,-171.748749,13.878992,-3909.342041,-89.532051,2.254266,-394.587524,-1921.236816,41.317791,-1417.859619,-1906.427246,43.395393,388.189178,-3223.046143,62.454075,-2219.873047,-3222.522217,56.676575
36,0,-1011.882202,1562.047729,-18.627945,-1435.464478,-131.978958,13.056638,-364.834473,-141.873352,7.621838,1791.210571,-171.729095,13.884922,-3909.315430,-89.547951,2.315024,-394.579865,-1921.199341,41.309124,-1417.842285,-1906.405884,43.389687,388.187927,-3223.074707,62.391590,-2219.911621,-3222.570801,56.679272
37,0,-1011.882812,1562.049072,-18.695787,-1435.494385,-132.020432,13.067457,-364.650330,-141.939606,7.452929,1791.232788,-171.703156,13.898738,-3909.209473,-89.579041,2.348186,-394.579742,-1921.198364,41.310520,-1417.849243,-1906.403076,43.380798,388.180420,-3223.073730,62.390240,-2219.859131,-3222.554688,56.684956
38,0,-1011.883118,1562.048218,-18.701797,-1435.405273,-132.030380,13.130160,-364.629578,-141.951157,7.460523,1791.174683,-171.702179,13.912256,-3909.322266,-89.558533,2.307791,-394.574432,-1921.172974,41.306488,-1417.865601,-1906.431030,43.367939,388.186768,-3223.077881,62.392872,-2219.862793,-3222.499756,56.714825
39,0,-1011.883362,1562.043091,-18.723955,-1435.514526,-132.021942,13.088995,-364.501770,-141.954178,7.531610,1791.158813,-171.723984,13.911640,-3909.415771,-89.578636,2.285207,-394.601654,-1921.198242,41.300323,-1417.849243,-1906.445557,43.381355,388.183380,-3223.066162,62.379131,-2219.901611,-3222.517822,56.681499
40,0,-1011.907715,1562.085083,-19.049294,-1435.490845,-132.024063,13.063319,-364.527344,-141.978607,7.544634,1791.136963,-171.746323,13.892300,-3909.616211,-89.547638,2.108692,-394.621429,-1921.225220,41.267902,-1417.847778,-1906.442993,43.376286,388.178558,-3223.070801,62.363903,-2219.906006,-3222.551758,56.686317
41,0,-1011.930725,1562.238892,-18.786854,-1435.452759,-132.016800,13.069590,-364.869263,-141.860458,7.657693,1791.017944,-171.743362,13.898645,-3908.889893,-89.828323,2.687519,-394.628723,-1921.229614,41.297016,-1417.848022,-1906.446899,43.386360,388.185974,-3223.056885,62.422768,-2219.861328,-3222.532471,56.700645
42,0,-1011.902222,1562.093872,-18.666368,-1435.434570,-132.008026,13.085616,-364.702728,-141.916443,7.506331,1791.203369,-171.749619,13.882818,-3909.406006,-89.581856,2.249562,-394.608612,-1921.247070,41.302467,-1417.859741,-1906.433472,43.402363,388.194733,-3223.041748,62.449284,-2219.846924,-3222.500977,56.744576
43,0,-1011.900757,1562.268799,-18.938646,-1435.466675,-132.027267,13.088924,-364.468079,-141.975159,7.539882,1791.223633,-171.731415,13.914012,-3909.482422,-89.550171,2.234855,-394.591309,-1921.207520,41.339458,-1417.852905,-1906.422241,43.413486,388.198242,-3223.037354,62.475193,-2219.802979,-3222.505615,56.724457
44,0,-1011.935486,1562.066528,-18.667452,-1435.465454,-132.011414,13.061796,-364.019012,-142.203308,7.197933,1791.315796,-171.718689,13.891393,-3909.277832,-89.580170,2.329442,-394.567780,-1921.156616,41.350193,-1417.842896,-1906.430786,43.414394,388.193024,-3223.032959,62.486156,-2219.807129,-3222.435791,56.755016
45,0,-1011.931091,1562.241211,-18.705002,-1435.429199,-132.027237,13.094789,-364.518311,-141.953140,7.588738,1791.472656,-171.718613,13.814361,-3909.469971,-89.551125,2.245977,-394.565308,-1921.163696,41.381306,-1417.857178,-1906.434937,43.397514,388.198212,-3223.019531,62.473488,-2219.860352,-3222.593262,56.702778
